v1 t=0.0 w0 hp=100.0/100.0 h=(0.0,-36.0) p=(-1.8,-37.1) g=0 pan=0 stl=0 alive=0 wr=0 th=0 std=0 wrk=0 suit=60.0 dome=null cred=0/4 win=0 cw=0 reach=0 bl=0 wh=0 probe=false
v2 t=30.0 w1 hp=100.0/100.0 h=(0.0,-45.4) p=(4.2,-19.0) g=0 pan=0 stl=0 alive=13 wr=0 th=0 std=0 wrk=0 suit=49.8 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v3 t=40.2 w1 hp=100.0/100.0 h=(0.0,-34.2) p=(-9.0,-22.0) g=60 pan=60 stl=0 alive=14 wr=0 th=0 std=0 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v4 t=51.7 w1 hp=92.8/100.0 h=(0.0,-46.1) p=(-1.7,-47.3) g=35 pan=60 stl=0 alive=10 wr=0 th=0 std=1 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v5 t=55.2 w1 hp=78.4/100.0 h=(0.0,-35.0) p=(-2.0,-38.2) g=35 pan=60 stl=0 alive=6 wr=0 th=0 std=1 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v6 t=60.0 w2 hp=78.4/100.0 h=(0.0,-45.5) p=(-16.0,-34.0) g=75 pan=100 stl=0 alive=11 wr=0 th=0 std=1 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v7 t=90.0 w3 hp=78.4/100.0 h=(0.0,-33.9) p=(-1.6,-35.4) g=25 pan=100 stl=0 alive=12 wr=0 th=0 std=2 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v8 t=101.6 w3 hp=78.4/100.0 h=(0.0,-46.1) p=(16.0,-34.0) g=95 pan=170 stl=0 alive=9 wr=0 th=0 std=2 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v9 t=105.1 w3 hp=71.2/100.0 h=(0.0,-46.1) p=(0.4,-39.2) g=95 pan=170 stl=0 alive=5 wr=0 th=0 std=2 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v10 t=113.9 w3 hp=71.2/100.0 h=(0.0,-34.0) p=(9.0,-22.0) g=70 pan=180 stl=0 alive=4 wr=0 th=0 std=3 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v11 t=120.0 w4 hp=71.2/100.0 h=(0.0,-45.1) p=(-3.3,-39.4) g=0 pan=180 stl=0 alive=13 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=1 cw=0 reach=1 bl=0 wh=0 probe=true
v12 t=131.2 w4 hp=64.0/100.0 h=(0.0,18.2) p=(-1.8,-14.7) g=0 pan=180 stl=0 alive=11 wr=0 th=0 std=4 wrk=0 suit=51.9 dome=null cred=1/4 win=1 cw=0 reach=1 bl=0 wh=0 probe=true
v13 t=150.0 w5 hp=64.0/100.0 h=(0.0,-41.8) p=(-3.0,-14.4) g=0 pan=180 stl=0 alive=22 wr=0 th=0 std=4 wrk=0 suit=43.4 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v14 t=158.6 w5 hp=64.0/100.0 h=(0.0,-35.4) p=(-1.1,-26.9) g=30 pan=210 stl=0 alive=17 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v15 t=164.6 w5 hp=89.0/125.0 h=(0.0,-45.7) p=(-16.0,-34.0) g=40 pan=220 stl=0 alive=12 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v16 t=167.2 w5 hp=89.0/125.0 h=(0.0,-36.2) p=(-9.6,-31.9) g=40 pan=220 stl=0 alive=10 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v17 t=171.9 w5 hp=114.0/150.0 h=(0.0,-45.3) p=(9.0,-22.0) g=80 pan=260 stl=0 alive=6 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v18 t=180.0 w6 hp=114.0/150.0 h=(0.0,-34.5) p=(-1.6,-35.7) g=35 pan=260 stl=0 alive=16 wr=0 th=0 std=5 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v19 t=180.7 w6 hp=114.0/150.0 h=(0.0,-36.1) p=(-1.7,-36.9) g=35 pan=260 stl=0 alive=14 wr=0 th=0 std=5 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v20 t=185.9 w6 hp=114.0/150.0 h=(0.0,-45.7) p=(9.0,-22.0) g=75 pan=300 stl=0 alive=13 wr=0 th=0 std=5 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v21 t=194.4 w6 hp=114.0/150.0 h=(0.0,-34.1) p=(-1.7,-35.2) g=75 pan=300 stl=0 alive=11 wr=0 th=0 std=5 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v22 t=199.4 w6 hp=139.0/175.0 h=(0.0,-45.7) p=(-16.0,-34.0) g=115 pan=340 stl=0 alive=6 wr=0 th=0 std=5 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v23 t=210.0 w7 hp=139.0/175.0 h=(0.0,-34.1) p=(-1.7,-35.5) g=20 pan=340 stl=0 alive=18 wr=0 th=0 std=6 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v24 t=211.2 w7 hp=139.0/175.0 h=(0.0,-37.9) p=(-1.6,-38.1) g=20 pan=340 stl=0 alive=16 wr=0 th=0 std=6 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v25 t=215.6 w7 hp=139.0/175.0 h=(0.0,-45.6) p=(-9.0,-22.0) g=60 pan=380 stl=0 alive=12 wr=0 th=0 std=6 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
